Date,Hour,Temperature,Windspeed,Windgust,Windbearing,Visibility,Borough
2019-01-20,0,34.77,5.1,6.79,279,10,Manhattan
2019-01-20,1,34.13,4.45,5.08,291,10,Manhattan
2019-01-20,2,33.23,4.99,6.38,296,10,Manhattan
2019-01-20,3,32.89,5.09,8.27,297,10,Manhattan
2019-01-20,4,31.79,4.41,7.55,307,10,Manhattan
2019-01-20,5,30.95,4.39,8.72,315,10,Manhattan
2019-01-20,6,30.44,4.55,7.48,324,10,Manhattan
2019-01-20,7,31.25,3.81,5.08,359,10,Manhattan
2019-01-20,8,31.79,3.03,5.0,10,10,Manhattan
2019-01-20,9,33.62,4.21,6.32,26,10,Manhattan
2019-01-20,10,34.63,5.53,7.72,51,10,Manhattan
2019-01-20,11,36.29,7.33,8.74,75,10,Manhattan
2019-01-20,12,36.41,7.62,8.44,96,10,Manhattan
2019-01-20,13,36.54,7.51,7.88,105,10,Manhattan
2019-01-20,14,36.39,7.02,7.51,113,10,Manhattan
2019-01-20,15,36.56,7.81,9.86,100,10,Manhattan
2019-01-20,16,36.88,7.86,10.85,91,10,Manhattan
2019-01-20,17,36.9,7.31,12.03,90,10,Manhattan
2019-01-20,18,36.94,8.4,12.55,77,10,Manhattan
2019-01-20,19,36.71,9.21,13.45,86,8.945,Manhattan
2019-01-20,20,36.16,9.92,17.27,85,6.303,Manhattan
2019-01-20,21,34.8,10.97,16.27,79,2.449,Manhattan
2019-01-20,22,34.2,11.42,16.17,76,2.24,Manhattan
2019-01-20,23,34.35,12.26,21.77,72,3.107,Manhattan
2019-01-21,0,34.48,11.77,22.61,71,2.592,Manhattan
2019-01-21,1,34.86,9.37,16.93,60,2.938,Manhattan
2019-01-21,2,35.39,9.11,16.23,49,3.534,Manhattan
2019-01-21,3,35.26,10.51,14.14,41,3.828,Manhattan
2019-01-21,4,35.78,9.58,17.52,46,5.157,Manhattan
2019-01-21,5,36.14,9.6,14.95,65,6.539,Manhattan
2019-01-21,6,36.56,10.94,17.64,73,6.983,Manhattan
2019-01-21,7,36.97,10.67,13.26,69,5.721,Manhattan
2019-01-21,8,37.46,8.65,15.2,82,7.872,Manhattan
2019-01-21,9,39.15,7.08,11.3,97,4.588,Manhattan
2019-01-21,10,40.48,5.16,8.69,92,5.58,Manhattan
2019-01-21,11,40.52,7.29,9.28,354,2.772,Manhattan
2019-01-21,12,37.31,13.31,20.11,350,8.811,Manhattan
2019-01-21,13,37.46,12.51,19.82,336,10,Manhattan
2019-01-21,14,36.64,15.79,22.12,320,10,Manhattan
2019-01-21,15,31.67,17.77,25.76,319,10,Manhattan
2019-01-21,16,29.24,19.63,30.29,314,10,Manhattan
2019-01-21,17,25.41,19.19,29.42,314,10,Manhattan
2019-01-21,18,21.42,19.89,29.21,318,10,Manhattan
2019-01-21,19,19.07,19.21,30.84,316,10,Manhattan
2019-01-21,20,16.66,18.16,30.94,316,10,Manhattan
2019-01-21,21,16.34,17.72,29.69,318,10,Manhattan
2019-01-21,22,15.64,16.84,27.72,313,10,Manhattan
2019-01-21,23,15.15,16.04,29.0,311,10,Manhattan
2019-01-22,0,14.18,16.75,27.53,311,10,Manhattan
2019-01-22,1,13.01,16.03,30.19,311,10,Manhattan
2019-01-22,2,11.25,17.19,25.73,308,10,Manhattan
2019-01-22,3,10.26,17.74,29.37,308,10,Manhattan
2019-01-22,4,9.23,15.57,27.33,302,10,Manhattan
2019-01-22,5,7.92,16.01,28.59,302,10,Manhattan
2019-01-22,6,6.94,15.84,24.07,301,10,Manhattan
2019-01-22,7,5.08,16.22,25.21,302,10,Manhattan
2019-01-22,8,4.21,18.18,28.38,302,10,Manhattan
2019-01-22,9,4.65,16.09,28.42,304,10,Manhattan
2019-01-22,10,6.09,16.75,29.48,301,10,Manhattan
2019-01-22,11,8.27,16.52,31.39,300,10,Manhattan
2019-01-22,12,9.63,17.52,34.43,303,10,Manhattan
2019-01-22,13,10.64,18.69,35.45,299,10,Manhattan
2019-01-22,14,12.02,20.28,36.27,300,10,Manhattan
2019-01-22,15,13.49,20.5,36.29,301,10,Manhattan
2019-01-22,16,13.93,20.7,41.92,302,10,Manhattan
2019-01-22,17,12.61,21.45,39.85,303,10,Manhattan
2019-01-22,18,11.75,19.03,36.25,305,10,Manhattan
2019-01-22,19,11.27,18.92,40.93,305,10,Manhattan
2019-01-22,20,11.36,16.53,33.81,305,10,Manhattan
2019-01-22,21,12.01,16.0,31.13,303,10,Manhattan
2019-01-22,22,12.89,14.48,32.53,306,10,Manhattan
2019-01-22,23,13.05,14.17,31.99,306,10,Manhattan
2019-01-23,0,13.52,11.61,27.44,299,10,Manhattan
2019-01-23,1,13.67,10.36,23.9,300,10,Manhattan
2019-01-23,2,13.07,9.27,20.09,298,10,Manhattan
2019-01-23,3,13.73,9.75,17.8,295,10,Manhattan
2019-01-23,4,14.18,9.06,17.1,283,10,Manhattan
2019-01-23,5,14.26,9.02,20.33,253,10,Manhattan
2019-01-23,6,13.9,8.63,18.46,327,10,Manhattan
2019-01-23,7,13.65,7.87,15.93,297,10,Manhattan
2019-01-23,8,14.49,8.46,14.58,294,10,Manhattan
2019-01-23,9,16.37,8.62,13.21,315,10,Manhattan
2019-01-23,10,18.8,7.84,12.56,317,10,Manhattan
2019-01-23,11,21.01,7.26,10.01,307,10,Manhattan
2019-01-23,12,23.87,6.96,10.56,290,10,Manhattan
2019-01-23,13,26.33,6.24,8.29,296,10,Manhattan
2019-01-23,14,28.4,5.46,6.76,301,10,Manhattan
2019-01-23,15,29.49,4.73,5.68,278,10,Manhattan
2019-01-23,16,29.93,3.49,4.52,272,10,Manhattan
2019-01-23,17,29.27,2.83,3.81,238,10,Manhattan
2019-01-23,18,28.86,2.41,3.29,181,10,Manhattan
2019-01-23,19,28.48,3.1,3.1,173,10,Manhattan
2019-01-23,20,27.88,3.16,3.16,174,10,Manhattan
2019-01-23,21,28.11,3.34,4.27,179,10,Manhattan
2019-01-23,22,28.5,4.23,6.01,177,10,Manhattan
2019-01-23,23,28.63,5.29,8.23,187,10,Manhattan
2019-01-24,0,29.29,6.45,10.79,204,10,Manhattan
2019-01-24,1,28.83,6.45,12.06,217,10,Manhattan
2019-01-24,2,29.02,6.53,12.49,203,10,Manhattan
2019-01-24,3,29.22,7.36,16.32,206,10,Manhattan
2019-01-24,4,30.12,8.35,16.38,208,10,Manhattan
2019-01-24,5,29.88,8.11,17.71,203,10,Manhattan
2019-01-24,6,30.53,7.91,17.06,205,10,Manhattan
2019-01-24,7,30.47,6.83,13.84,204,10,Manhattan
2019-01-24,8,31.65,6.72,14.81,202,10,Manhattan
2019-01-24,9,32.66,7.25,17.07,200,10,Manhattan
2019-01-24,10,33.9,8.63,18.55,200,10,Manhattan
2019-01-24,11,35.28,7.95,19.77,207,10,Manhattan
2019-01-24,12,36.04,8.38,18.05,208,10,Manhattan
2019-01-24,13,37.18,6.26,10.34,196,10,Manhattan
2019-01-24,14,40.36,7.25,14.41,202,10,Manhattan
2019-01-24,15,42.47,6.97,12.7,187,10,Manhattan
2019-01-24,16,41.48,5.8,12.46,179,10,Manhattan
2019-01-24,17,41.58,5.09,12.61,171,10,Manhattan
2019-01-24,18,42.29,4.86,10.36,170,10,Manhattan
2019-01-24,19,42.26,4.75,6.56,166,10,Manhattan
2019-01-24,20,43.35,5.31,11.27,175,10,Manhattan
2019-01-24,21,44.56,6.33,18.24,180,10,Manhattan
2019-01-24,22,43.03,7.69,29.43,193,10,Manhattan
2019-01-24,23,47.62,8.65,31.77,197,10,Manhattan
2019-01-25,0,48.19,9.31,31.89,193,10,Manhattan
2019-01-25,1,47.51,7.91,22.21,179,7.757,Manhattan
2019-01-25,2,52.56,9.98,27.8,191,8.459,Manhattan
2019-01-25,3,53.12,12.27,27.36,187,9.02,Manhattan
2019-01-25,4,52.2,12.21,16.41,184,9.493,Manhattan
2019-01-25,5,51.97,12.5,17.03,182,6.675,Manhattan
2019-01-25,6,52.07,12.13,17.2,178,8.536,Manhattan
2019-01-25,7,52.34,13.16,30.85,178,4.828,Manhattan
2019-01-25,8,52.85,14.83,31.96,177,6.659,Manhattan
2019-01-25,9,52.62,17.11,37.45,177,3.832,Manhattan
2019-01-25,10,53.26,19.29,46.27,176,10,Manhattan
2019-01-25,11,54.21,18.45,44.61,187,6.331,Manhattan
2019-01-25,12,55.74,17.74,40.48,196,4.966,Manhattan
2019-01-25,13,57.25,16.21,32.63,184,3.982,Manhattan
2019-01-25,14,56.45,14.8,30.06,121,4.353,Manhattan
2019-01-25,15,53.93,13.64,24.97,12,5.581,Manhattan
2019-01-25,16,51.28,14.23,23.62,304,6.594,Manhattan
2019-01-25,17,46.95,13.72,21.92,294,10,Manhattan
2019-01-25,18,45.0,16.56,23.84,297,10,Manhattan
2019-01-25,19,41.08,14.77,21.35,302,10,Manhattan
2019-01-25,20,39.71,12.61,21.22,295,10,Manhattan
2019-01-25,21,39.36,12.38,21.59,294,10,Manhattan
2019-01-25,22,37.59,14.93,23.89,297,10,Manhattan
2019-01-25,23,35.59,10.51,18.67,286,10,Manhattan
2019-01-26,0,34.95,9.09,17.23,284,10,Manhattan
2019-01-26,1,34.87,7.84,13.85,294,10,Manhattan
2019-01-26,2,34.65,7.6,14.37,345,10,Manhattan
2019-01-26,3,34.16,6.85,13.0,226,10,Manhattan
2019-01-26,4,33.19,5.46,9.97,275,10,Manhattan
2019-01-26,5,33.19,5.71,10.02,273,10,Manhattan
2019-01-26,6,33.06,6.15,10.13,254,10,Manhattan
2019-01-26,7,33.7,5.14,8.17,254,10,Manhattan
2019-01-26,8,34.3,7.25,13.12,249,10,Manhattan
2019-01-26,9,35.13,8.81,15.47,258,10,Manhattan
2019-01-26,10,36.07,10.79,18.31,272,10,Manhattan
2019-01-26,11,37.54,11.69,18.38,265,10,Manhattan
2019-01-26,12,38.2,12.85,19.95,276,10,Manhattan
2019-01-26,13,38.74,14.54,23.22,269,10,Manhattan
2019-01-26,14,37.89,15.4,24.61,270,10,Manhattan
2019-01-26,15,37.08,15.43,24.02,274,10,Manhattan
2019-01-26,16,36.43,15.3,23.18,270,10,Manhattan
2019-01-26,17,34.87,12.7,20.55,268,10,Manhattan
2019-01-26,18,34.1,10.47,19.62,264,10,Manhattan
2019-01-26,19,33.83,8.94,14.74,260,10,Manhattan
2019-01-26,20,32.93,8.14,13.54,262,10,Manhattan
2019-01-26,21,31.87,8.78,13.73,288,10,Manhattan
2019-01-26,22,29.83,9.17,13.76,281,10,Manhattan
2019-01-26,23,28.95,8.77,12.43,275,10,Manhattan
2019-01-27,0,27.74,7.57,12.51,273,10,Manhattan
2019-01-27,1,26.88,6.54,9.46,284,10,Manhattan
2019-01-27,2,25.72,6.02,7.99,270,10,Manhattan
2019-01-27,3,25.27,6.0,7.45,264,10,Manhattan
2019-01-27,4,24.39,5.9,7.1,271,10,Manhattan
2019-01-27,5,23.53,5.72,8.82,276,10,Manhattan
2019-01-27,6,22.86,4.76,7.45,231,10,Manhattan
2019-01-27,7,22.88,3.84,6.51,258,10,Manhattan
2019-01-27,8,23.73,3.29,6.45,290,10,Manhattan
2019-01-27,9,25.5,5.2,10.95,245,10,Manhattan
2019-01-27,10,27.31,5.99,12.07,282,10,Manhattan
2019-01-27,11,29.04,6.35,11.56,276,10,Manhattan
2019-01-27,12,31.21,7.55,13.88,234,10,Manhattan
2019-01-27,13,32.89,8.7,15.32,231,10,Manhattan
2019-01-27,14,34.12,8.78,15.44,227,10,Manhattan
2019-01-27,15,34.34,8.54,12.79,218,10,Manhattan
2019-01-27,16,34.28,7.0,12.19,220,10,Manhattan
2019-01-27,17,33.42,5.13,8.11,203,10,Manhattan
2019-01-27,18,33.1,3.9,5.41,196,10,Manhattan
